name: GeForce RTX 2080 Ti major: 7 minor: 5 memoryClockRate(GHz): 1.545
pciBusID: 0000:01:00.0
totalMemory: 10.73GiB freeMemory: 10.57GiB
Loading dataset...
100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 1/1 [00:01<00:00,  1.55s/it]
dataset has 76768927 tokens
Training...
[426 | 271.57] loss=3.48 avg=3.01
[427 | 272.20] loss=3.20 avg=3.02
[428 | 272.83] loss=2.98 avg=3.01
[429 | 273.45] loss=3.20 avg=3.02
[430 | 274.08] loss=2.90 avg=3.02
[431 | 274.71] loss=2.72 avg=3.01
[432 | 275.33] loss=3.13 avg=3.01
[433 | 275.96] loss=2.93 avg=3.01
[434 | 276.59] loss=3.36 avg=3.02
[435 | 277.22] loss=3.11 avg=3.02
[436 | 277.85] loss=3.19 avg=3.02
[437 | 278.47] loss=3.01 avg=3.02
[438 | 279.10] loss=3.16 avg=3.02
[439 | 279.73] loss=3.23 avg=3.02
[440 | 280.35] loss=3.02 avg=3.02
[441 | 280.98] loss=3.19 avg=3.02
[442 | 281.61] loss=3.24 avg=3.03
[443 | 282.24] loss=2.99 avg=3.03
[444 | 282.86] loss=3.09 avg=3.03
[445 | 283.49] loss=3.21 avg=3.03
[446 | 284.12] loss=3.08 avg=3.03
[447 | 284.75] loss=3.52 avg=3.03
[448 | 285.37] loss=1.13 avg=3.01
[449 | 286.00] loss=2.77 avg=3.01
[450 | 286.63] loss=3.00 avg=3.01
[451 | 287.26] loss=2.98 avg=3.01
[452 | 287.88] loss=3.39 avg=3.02
[453 | 288.51] loss=2.64 avg=3.01
[454 | 289.14] loss=3.35 avg=3.02
[455 | 289.77] loss=3.15 avg=3.02
[456 | 290.40] loss=3.51 avg=3.02
[457 | 291.02] loss=2.90 avg=3.02
[458 | 291.65] loss=3.08 avg=3.02
[459 | 292.28] loss=3.37 avg=3.02
[460 | 292.91] loss=3.39 avg=3.03
[461 | 293.54] loss=3.24 avg=3.03
[462 | 294.16] loss=0.92 avg=3.01
[463 | 294.79] loss=3.14 avg=3.01
[464 | 295.42] loss=3.04 avg=3.01
[465 | 296.05] loss=3.44 avg=3.02
[466 | 296.68] loss=2.99 avg=3.01
[467 | 297.30] loss=3.30 avg=3.02
[468 | 297.93] loss=3.07 avg=3.02
[469 | 298.56] loss=3.00 avg=3.02
[470 | 299.19] loss=3.15 avg=3.02
[471 | 299.81] loss=2.78 avg=3.02
[472 | 300.44] loss=2.85 avg=3.02
[473 | 301.07] loss=3.36 avg=3.02
[474 | 301.70] loss=3.45 avg=3.02
[475 | 302.32] loss=2.85 avg=3.02
[476 | 302.95] loss=3.19 avg=3.02
[477 | 303.58] loss=2.63 avg=3.02
[478 | 304.21] loss=3.08 avg=3.02
[479 | 304.83] loss=3.09 avg=3.02
[480 | 305.46] loss=1.85 avg=3.01
[481 | 306.09] loss=3.57 avg=3.01
[482 | 306.72] loss=2.71 avg=3.01
[483 | 307.35] loss=3.09 avg=3.01
[484 | 307.97] loss=1.15 avg=2.99
[485 | 308.60] loss=2.61 avg=2.99
[486 | 309.23] loss=3.52 avg=2.99
[487 | 309.85] loss=2.34 avg=2.99
[488 | 310.48] loss=3.40 avg=2.99
[489 | 311.11] loss=2.69 avg=2.99
[490 | 311.74] loss=2.85 avg=2.99
[491 | 312.37] loss=3.11 avg=2.99
[492 | 312.99] loss=2.83 avg=2.99
[493 | 313.62] loss=2.86 avg=2.99
[494 | 314.25] loss=2.72 avg=2.98
[495 | 314.88] loss=2.88 avg=2.98
[496 | 315.51] loss=2.94 avg=2.98
[497 | 316.13] loss=2.94 avg=2.98
[498 | 316.76] loss=3.83 avg=2.99
[499 | 317.39] loss=3.14 avg=2.99
[500 | 318.02] loss=3.50 avg=3.00
[501 | 318.65] loss=3.32 avg=3.00
[502 | 319.27] loss=3.17 avg=3.00
[503 | 319.90] loss=3.07 avg=3.00
[504 | 320.53] loss=2.98 avg=3.00
[505 | 321.15] loss=3.28 avg=3.00
[506 | 321.78] loss=3.20 avg=3.01
[507 | 322.41] loss=3.05 avg=3.01
[508 | 323.04] loss=2.96 avg=3.01
[509 | 323.67] loss=3.43 avg=3.01
[510 | 324.30] loss=2.69 avg=3.01
